# telescope   = tel16
# season      = 2014-2017
# filter      = RG715
# aperture    = 6.000     pix
# deblend     = 0
# null_dc[1]  = 0.000813  mag
# null_dc[2]  = 0.000312  mag
# null_dc[3]  = 0.000501  mag
# null_dc[4]  = 0.000022  mag
# null_cm     = 0.365045  mag/mag
# null_fwhm_k = -0.000102 mag/pix
# null_fwhm_0 = 2.743500  pix
# null_chidof = 2.452
# null_nfit   = 2303
# null_nparm  = 6
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2457834.872262    0.006731    0.003237  15.034 -0.0025  2.548 0.054 1.63855   746.926  1687.768    0.02    37.35 11706  2  3 0 0  0.004374    0.004802
2457834.872702    0.004198    0.003252  15.034  0.0018  2.607 0.080 1.64356   748.135  1681.345    0.01    37.46 12140  2  3 0 0  0.004350    0.002284
2457834.873146    0.001600    0.003120  15.034  0.0029  2.587 0.106 1.64866   748.090  1683.687    0.02    37.42 11768  2  3 0 0  0.004326   -0.000307
2457834.890767    0.010480    0.003761  15.034 -0.0016  2.956 0.163 1.89106   747.245  1689.109    0.02    42.19  8598  2  3 0 0  0.004361    0.008598
2457834.891211    0.005202    0.003691  15.034  0.0035  2.650 0.048 1.89835   747.042  1689.313    0.02    42.23 10737  2  3 0 0  0.004437    0.003261
2457834.891655    0.005159    0.003779  15.034  0.0039  2.791 0.045 1.90572   747.037  1685.282    0.02    42.21 10431  2  3 0 0  0.004514    0.003205
2457834.892119   -0.001889    0.003720  15.034  0.0021  2.474 0.043 1.91348   746.699  1682.893    0.02    42.23 11465  2  3 0 0  0.004594   -0.003906
2457835.558235    0.006562    0.003942  15.034 -0.0082  3.113 0.034 1.93839  1298.900   366.072 -179.90    56.81  7134  1  3 0 0 -0.000173    0.005849
2457835.558679    0.000331    0.003967  15.034  0.0010  3.706 0.183 1.93073  1298.760   360.208 -179.89    56.83  5309  1  3 0 0 -0.000213   -0.000307
2457835.559129    0.005825    0.003902  15.034  0.0026  2.883 0.043 1.92303  1299.019   351.661 -179.90    56.81  8082  1  3 0 0 -0.000253    0.005118
2457835.559575    0.003399    0.003860  15.034  0.0024  3.057 0.107 1.91548  1299.717   361.165 -179.90    56.53  8562  1  3 0 0 -0.000293    0.002724
2457835.582168    0.003079    0.003226  15.034  0.0060  3.474 0.168 1.60955  1299.204   366.590 -179.89    50.47  5224  1  3 0 0  0.000082    0.002311
2457835.582635    0.003178    0.003159  15.034 -0.0008  2.783 0.020 1.60453  1299.717   370.308 -179.89    50.18  8855  1  3 0 0  0.000111    0.002328
