# telescope   = tel04
# season      = 2011-2017
# filter      = RG715
# aperture    = 8.000     pix
# deblend     = 0
# null_dc[1]  = -0.001101 mag
# null_dc[2]  = 0.000375  mag
# null_cm     = 0.225549  mag/mag
# null_fwhm_k = -0.000587 mag/pix
# null_fwhm_0 = 3.641000  pix
# null_chidof = 3.107
# null_nfit   = 451
# null_nparm  = 4
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2457887.759091    0.002339    0.003808   8.027  0.0140  4.029 0.293 1.48849   714.049  1767.970   -0.00    36.73  5774  2  9 0 0 -0.000282    0.002256
2457887.759526    0.005119    0.004915   8.027  0.0228  4.256 0.275 1.49057   714.987  1767.950   -0.00    36.62  4166  2  9 0 0 -0.000301    0.005173
2457887.759976    0.007216    0.004931   8.027 -0.0017  3.827 0.345 1.49274   715.435  1766.677   -0.00    36.55  5033  2  9 0 0 -0.000321    0.007023
2457887.760417    0.011456    0.003858   8.027  0.0130  3.537 0.146 1.49489   715.088  1762.491   -0.00    36.98  6047  2  9 0 0 -0.000341    0.011097
2457887.760846   -0.000821    0.004821   8.027 -0.0115  4.428 0.286 1.49700   714.515  1761.656   -0.01    37.43  4244  2  9 0 0 -0.000360   -0.000653
2457887.781421    0.008315    0.004436   8.027  0.0290  3.820 0.159 1.62207   713.644  1762.391   -0.01    39.72  6236  2  9 0 0 -0.000574    0.008175
2457887.781849   -0.016554    0.005104   8.027  0.0123  4.286 0.199 1.62523   714.475  1762.390   -0.01    39.87  4447  2  9 0 0 -0.000575   -0.016420
2457887.782288    0.017686    0.004950   8.027  0.0289  3.085 0.112 1.62850   714.769  1765.354   -0.01    39.87  9309  2  9 0 0 -0.000576    0.017115
2457887.782718    0.004025    0.005078   8.027  0.0063  4.002 0.331 1.63174   715.243  1762.367   -0.01    39.84  4658  2  9 0 0 -0.000576    0.003992
2457887.783165   -0.007500    0.005789   8.027 -0.0133  3.843 0.240 1.63513   714.460  1764.140   -0.01    39.79  4787  2  9 0 0 -0.000577   -0.007626
2457887.809125    0.006887    0.005198   8.027  0.0495  3.467 0.045 1.89152   713.539  1763.720   -0.01    41.63  6387  2  9 0 0 -0.001114    0.006662
2457887.809562    0.008008    0.005017   8.027  0.0389  3.325 0.163 1.89705   714.890  1762.192   -0.01    41.58  6864  2  9 0 0 -0.001125    0.007701
2457887.809981   -0.007566    0.005017   8.027  0.0084  3.165 0.179 1.90242   715.485  1767.300   -0.01    41.31  6284  2  9 0 0 -0.001134   -0.007965
2457887.810412   -0.000101    0.005035   8.027  0.0389  4.085 0.316 1.90796   713.830  1760.591   -0.01    41.09  5059  2  9 0 0 -0.001145    0.000043
2457887.810836    0.005928    0.005691   8.027  0.0492  2.818 0.063 1.91348   714.479  1767.494   -0.01    40.97 10354  2  9 0 0 -0.001155    0.005331
2457888.647846    0.012172    0.031957   8.027 -2.5284  4.439 0.072 1.39642  1333.986   316.472  179.90    23.21   412  1  9 0 0  0.000865    0.013546
2457888.648300    0.003505    0.020172   8.027 -0.9084  3.909 0.308 1.39522  1335.107   272.308  179.90    21.08   763  1  9 0 0  0.000910    0.004557
2457888.648748    0.042722    0.009556   8.027 -0.6231  6.154 0.036 1.39405  1335.034   278.014  179.90    21.39  1085  1  9 0 0  0.000954    0.045082
2457888.649201   -0.135531    0.041703   8.027 -1.5907  5.457 0.141 1.39288  1333.543   320.887 -179.95    23.47   313  1  9 0 0  0.000998   -0.133590
2457888.649666   -0.053734    0.014136   8.027 -0.8032  4.120 0.279 1.39170  1334.737   324.610  179.90    22.56  1816  1  9 0 0  0.001044   -0.052588
2457888.676178   -0.004419    0.004143   8.027 -0.0300  3.912 0.277 1.34817  1333.665   286.848  179.90    15.66  6611  1  9 0 0  0.001909   -0.003590
2457888.676610    0.008016    0.004230   8.027 -0.0340  4.374 0.134 1.34783  1335.005   284.871  179.90    16.14  3409  1  9 0 0  0.001884    0.009121
2457888.677043   -0.017323    0.006659   8.027 -0.2180  5.139 0.091 1.34750  1332.447   290.605  179.89    16.48  1305  1  9 0 0  0.001859   -0.015762
2457888.677485   -0.005756    0.004172   8.027 -0.0263  4.185 0.315 1.34718  1332.222   287.743  179.89    16.70  3835  1  9 0 0  0.001833   -0.004750
2457888.803949    0.002645    0.005259   8.027  0.0472  3.832 0.070 1.86220   714.390  1766.099   -0.01    31.45  5118  2  9 0 0 -0.002067    0.002848
2457888.804821    0.011813    0.005532   8.027  0.0499  4.411 0.164 1.87278   717.663  1764.991   -0.01    31.93  4533  2  9 0 0 -0.001982    0.012337
2457888.805262   -0.000294    0.005668   8.027  0.0446  4.358 0.164 1.87819   715.601  1764.135   -0.01    32.25  4454  2  9 0 0 -0.001963    0.000195
2457888.805709    0.007612    0.005578   8.027  0.0424  5.201 0.187 1.88373   715.664  1765.601   -0.01    32.61  2851  2  9 0 0 -0.001971    0.008598
2457890.653575   -0.004897    0.004145   8.027 -0.0431  4.401 0.055 1.37080  1336.167   286.081  179.90    22.55  4331  1  9 0 0  0.000692   -0.003507
2457890.654018    0.003514    0.004509   8.027 -0.0357  4.387 0.108 1.36998  1334.268   287.423  179.90    22.19  4281  1  9 0 0  0.000780    0.004877
2457890.654454   -0.006012    0.004155   8.027 -0.0424  4.045 0.041 1.36918  1334.208   287.502  179.90    21.67  4741  1  9 0 0  0.000867   -0.004870
2457890.654888   -0.002221    0.004640   8.027 -0.0331  4.583 0.159 1.36840  1335.474   286.004  179.90    20.93  4284  1  9 0 0  0.000953   -0.000783
2457890.655331   -0.006954    0.004338   8.027 -0.0254  4.220 0.106 1.36761  1334.917   284.667  179.89    19.87  4243  1  9 0 0  0.001041   -0.005749
2457890.679148   -0.006425    0.004327   8.027 -0.0129  3.733 0.082 1.34353  1332.074   287.554  179.90    18.09  6294  1  9 0 0  0.004465   -0.006277
2457890.679586   -0.007098    0.004069   8.027  0.0031  3.492 0.032 1.34341  1332.883   287.049  179.90    18.92  6377  1  9 0 0  0.004512   -0.007103
2457890.680019   -0.021695    0.004115   8.027 -0.0084  3.548 0.037 1.34330  1333.494   284.871  179.90    19.42  6449  1  9 0 0  0.004558   -0.021677
2457890.680464    0.013556    0.004442   8.027  0.0072  4.533 0.097 1.34321  1334.265   285.630  179.90    19.91  4167  1  9 0 0  0.004605    0.014142
2457890.680908   -0.012163    0.005267   8.027  0.0001  4.128 0.040 1.34312  1335.074   282.360  179.89    20.50  4964  1  9 0 0  0.004653   -0.011826
2457890.713308    0.005917    0.003921   8.027  0.0086  2.961 0.065 1.36914   716.431  1763.790   -0.01    24.58  9881  2  9 0 0  0.003593    0.004332
2457890.713725    0.008477    0.004457   8.027  0.0136  2.924 0.098 1.36990   716.324  1764.549   -0.00    24.41  9445  2  9 0 0  0.003557    0.006879
2457890.714159    0.005406    0.004373   8.027  0.0044  3.381 0.052 1.37071   715.528  1762.803    0.00    24.70  8055  2  9 0 0  0.003520    0.004085
2457890.714596    0.009496    0.004284   8.027 -0.0028  4.321 0.225 1.37153   714.829  1760.716   -0.01    24.58  4951  2  9 0 0  0.003483    0.008735
2457890.715033    0.000962    0.003557   8.027  0.0094  3.574 0.094 1.37237   714.853  1766.874   -0.00    24.70  7897  2  9 0 0  0.003445   -0.000229
2457890.736793   -0.000978    0.003725   8.027  0.0100  3.259 0.118 1.43113   715.108  1759.755   -0.00    27.87  8443  2  9 0 0  0.002392   -0.002116
2457890.737211    0.014403    0.005611   8.027  0.0224  3.314 0.157 1.43261   716.119  1763.951   -0.01    27.67  8645  2  9 0 0  0.002385    0.013299
2457890.737652   -0.009831    0.004155   8.027  0.0149  3.218 0.126 1.43419   715.593  1764.930   -0.00    27.79  8467  2  9 0 0  0.002377   -0.010991
2457890.738089    0.008817    0.004064   8.027  0.0105  3.365 0.095 1.43577   714.575  1763.799   -0.00    27.90  7130  2  9 0 0  0.002369    0.007745
